time_ns,x,y,theta,omega
40100,0.000995004165278026,0.5000998334166469,0.09999999999999999,0.0
100040100,0.001990008330556052,0.5001996668332938,0.09699999999999999,-3.0
200040100,0.0029853075181193824,0.5002965147926722,0.09673991673663529,-0.260083263364682
300040100,0.0039806318605530916,0.5003931038881173,0.09647975854657895,-0.2601581900563471
400040100,0.004975981297747855,0.5004894340385172,0.09621982546344401,-0.2599330831349359
500040100,0.005971355740709834,0.5005855054614177,0.0959598449524995,-0.25998051094451285
600040100,0.006966755126730532,0.5006813181031181,0.0956998171465126,-0.26002780598689634
700040100,0.00796217939305026,0.5007768719100639,0.09543974214828892,-0.26007499822367713
800040100,0.008957628476861127,0.5008721668288167,0.09517962008779848,-0.2601220604904301
900040100,0.009953102315304557,0.5009672028060816,0.09491945109503645,-0.26016899276203553
1000040100,0.01094860084547142,0.5010619797887073,0.094659235300026,-0.26021579501045394
1100040100,0.01194412400440216,0.5011564977236855,0.09439897283281556,-0.2602624672104349
1200040100,0.012939671729086923,0.5012507565581521,0.09413866382347875,-0.26030900933680806
1300040100,0.013935243956465684,0.5013447562393861,0.0938783084021143,-0.2603554213644501
1400040100,0.014930840623428381,0.5014384967148104,0.09361790669884594,-0.26040170326834
1500040100,0.015926461666815037,0.5015319779319916,0.09335745884382242,-0.260447855023515
1600040100,0.016922107023415893,0.5016251998386398,0.09309696496721732,-0.2604938766050924
1700040100,0.01791777662997154,0.5017181623826096,0.09283642519922905,-0.26053976798825884
1800040100,0.01891347042317304,0.5018108655118988,0.09257583967008076,-0.26058552914829247
1900040100,0.019909188339662064,0.5019033091746494,0.09231520851002022,-0.2606311600605409
2000040100,0.020904930316031016,0.5019954933191476,0.0920545318493198,-0.2606766607004096
2100040100,0.021900696288823164,0.5020874178938233,0.09179380981827642,-0.26072203104338487
2200040100,0.02289648619453277,0.5021790828472507,0.09153304254721137,-0.26076727106505554
2300040100,0.023892299969605218,0.5022704881281482,0.09127223016647033,-0.2608123807410356
2400040100,0.024888137550437152,0.5023616336853785,0.09101137280642327,-0.2608573600470639
2500040100,0.025883998873376595,0.5024525194679481,0.09075047059746433,-0.2609022089589379
2600040100,0.026879883874723082,0.5025431454250084,0.09048952367001183,-0.2609469274525022
2700040100,0.027875792490727795,0.502633511505855,0.09022853215450811,-0.26099151550370436
2800040100,0.028871724657593693,0.5027236176599279,0.08996749618141954,-0.2610359730885728
2900040100,0.029867680311475634,0.5028134638368115,0.08970641588123635,-0.2610803001831943
3000040100,0.030863659388480513,0.5029030499862348,0.0894452913844726,-0.2611244967637477
3100040100,0.031859661824667394,0.5029923760580716,0.08918412282166616,-0.2611685628064482
3200040100,0.03285568755604764,0.5030814420023401,0.08892291032337854,-0.2612124982876361
3300040100,0.033851736518585036,0.5031702477692033,0.08866165402019484,-0.2612563031836996
3400040100,0.034847808648195935,0.503258793308969,0.08840035404272373,-0.2612999774711076
3500040100,0.03584390388074937,0.5033470785720899,0.08813901052159732,-0.26134352112639897
3600040100,0.036840022152067206,0.5034351035091633,0.08787762358747113,-0.26138693412620473
