time_ns,x,y,theta,omega
40100,0.0009880593568400897,-0.17561503223058184,-0.15468989803721309,0.0
1040100,0.0019761187136801794,-0.1757691059381401,-0.15168989803721308,3.0
2040100,0.0029646358446858414,-0.17592021477874295,-0.15126158375929225,0.4283142779208301
3040100,0.0039532176070901995,-0.17607090020949687,-0.15083291920406483,0.4286645552274011
4040100,0.004941863872168153,-0.1762211618564578,-0.15040539258792912,0.42752661613570314
5040100,0.005930574287745721,-0.17637100081710702,-0.14997773392124428,0.42765866668484154
6040100,0.006919348692837884,-0.17652041693348888,-0.1495499441209621,0.42778980028219543
7040100,0.007908186926143793,-0.17666941004860648,-0.14912202336619318,0.4279207547689515
8040100,0.008897088826157898,-0.17681798000569232,-0.1486939724640991,0.4280509020940763
9040100,0.00988605423107717,-0.17696612664882966,-0.14826579222171427,0.4281802423848303
10040100,0.010875082978802443,-0.17711384982295267,-0.14783748344630293,0.4283087754113349
11040100,0.011864174906939718,-0.17726114937384707,-0.14740904694505227,0.4284365012506522
12040100,0.012853329852801496,-0.17740802514815032,-0.14698048352506715,0.4285634199851249
13040100,0.013842547653408133,-0.17755447699335197,-0.1465517939933699,0.4286895316972492
14040100,0.014831828145489175,-0.17770050475779386,-0.14612297915689867,0.4288148364712436
15040100,0.015821171165484708,-0.17784610829067035,-0.14569403982250376,0.42893933439491616
16040100,0.016810576549546714,-0.17799128744202866,-0.14526497679694775,0.42906302555602244
17040100,0.01780004413354041,-0.178136042062769,-0.14483579088690904,0.4291859100387054
18040100,0.018789573753045595,-0.17828037200464497,-0.14440648289896407,0.42930798794494585
19040100,0.019779165243358026,-0.17842427712026362,-0.14397705363960703,0.4294292593570494
20040100,0.020768818439490747,-0.17856775726308585,-0.14354750391523008,0.42954972437693684
21040100,0.021758533176175453,-0.17871081228742655,-0.14311783453213076,0.4296693830993246
22040100,0.02274830928786385,-0.17885344204845488,-0.14268804629650828,0.42978823562250207
23040100,0.023738146608729003,-0.17899564640219445,-0.14225814001446357,0.4299062820447026
24040100,0.02472804497266671,-0.17913742520552364,-0.1418281164919941,0.43002352246947545
25040100,0.025718004213296838,-0.17927877831617572,-0.14139797653499375,0.43013995700032187
26040100,0.026708024163964714,-0.17941970559273912,-0.14096772094925122,0.4302555857425281
27040100,0.027698104657742462,-0.17956020689465768,-0.14053735054045172,0.43037040879951527
28040100,0.028688245527430385,-0.17970028208223082,-0.14010686611416634,0.43048442628536565
29040100,0.029678446605558316,-0.17983993101661375,-0.1396762684758593,0.430597638307038
30040100,0.030668707724386995,-0.1799791535598177,-0.13924555843088257,0.4307100449767473
31040100,0.03165902871590943,-0.18011794957471014,-0.13881473678447412,0.43082164640845405
32040100,0.032649409411852265,-0.18025631892501495,-0.138383804341758,0.43093244271609554
33040100,0.03363984964367717,-0.18039426147531268,-0.1379527619077391,0.43104243401890163
34040100,0.03463034924258216,-0.18053177709104065,-0.13752161028730306,0.4311516204360451
35040100,0.03562090803950304,-0.18066886563849324,-0.13709035028521638,0.4312600020866909
36040100,0.036611525865114715,-0.18080552698482202,-0.13665898270612473,0.4313675790916893
37040100,0.0376022025498326,-0.180941760998036,-0.1362275083545493,0.4314743515754295
38040100,0.03859293792381398,-0.18107756754700172,-0.13579592803488172,0.43158031966758886
39040100,0.03958373181695939,-0.1812129465014435,-0.1353642425513928,0.43168548348890784
40040100,0.040574584058914,-0.1813478977319437,-0.1349324527082185,0.43178984317429087
