time_ns,x,y,theta,omega,lateral_error
100,0.0,0.0,0.0,0.0,0.0
1000100,0.0,0.5,0.1,0.0,0.5
2000100,0.000995004165278026,0.5000998334166469,0.09999999999999999,-3.0,0.5000998334166469
3000100,0.001990008330556052,0.5001996668332938,0.09699999999999999,-1.050216385140074,0.5001996668332938
4000100,0.0029853075181193824,0.5002965147926722,0.09594978361485991,-1.0504660719400511,0.5002965147926722
5000100,0.003980707868093036,0.5003923174193186,0.09489931754291986,-1.049217068876087,0.5003923174193186
6000100,0.004976208306255451,0.5004870743590034,0.09385010047404377,-1.0489360469950453,0.5004870743590034
7000100,0.005971807617046644,0.5005807867506712,0.09280116442704871,-1.0486527661011185,0.5005807867506712
8000100,0.006967504678413082,0.5006734547709707,0.09175251166094758,-1.0483679749545882,0.5006734547709707
9000100,0.007963298368867177,0.5007650786000318,0.09070414368599299,-1.0480811926565268,0.5007650786000318
10000100,0.008959187567565677,0.5008556584207187,0.08965606249333646,-1.047792421203327,0.5008556584207187
11000100,0.009955171154274054,0.5009451944191077,0.08860827007213314,-1.0475016622233893,0.5009451944191077
12000100,0.01095124800937612,0.5010336867844845,0.08756076840990973,-1.0472089175906996,0.5010336867844845
13000100,0.0119474170138836,0.501121135709341,0.08651355949231902,-1.0469141891840157,0.501121135709341
14000100,0.012943677049445698,0.5012075413893731,0.08546664530313501,-1.0466174788871947,0.5012075413893731
15000100,0.013940026998358671,0.5012929040234767,0.08442002782424782,-1.0463187885891339,0.5012929040234767
16000100,0.014936465743575354,0.5013772238137457,0.08337370903565869,-1.0460181201835403,0.5013772238137457
17000100,0.01593299216871469,0.5014605009654682,0.08232769091547514,-1.0457154755691498,0.5014605009654682
18000100,0.016929605158071254,0.5015427356871238,0.08128197543990598,-1.0454108566494413,0.5015427356871238
19000100,0.017926303596624713,0.5016239281903806,0.08023656458325654,-1.0451042653328546,0.5016239281903806
20000100,0.018923086370049327,0.5017040786900917,0.07919146031792368,-1.0447957035327844,0.5017040786900917
21000100,0.01991995236472339,0.5017831874042924,0.07814666461439089,-1.0444851731672404,0.5017831874042924
22000100,0.020916900467738683,0.501861254554197,0.07710217944122365,-1.0441726761591754,0.501861254554197
23000100,0.02191392956690988,0.5019382803641951,0.07605800676506447,-1.0438582144363675,0.5019382803641951
24000100,0.02291103855078396,0.5020142650618492,0.0750141485506281,-1.0435417899311923,0.5020142650618492
25000100,0.023908226308649604,0.5020892088778909,0.0739706067606969,-1.0432234045810056,0.5020892088778909
26000100,0.02490549173054654,0.5021631120462176,0.0729273833561159,-1.0429030603277478,0.5021631120462176
27000100,0.025902833707274916,0.5022359748038893,0.07188448029578814,-1.0425807591181058,0.5022359748038893
28000100,0.026900251130404625,0.5023077973911254,0.07084189953667003,-1.0422565029034483,0.5023077973911254
29000100,0.027897742892284617,0.5023785800513011,0.06979964303376658,-1.0419302936398787,0.5023785800513011
30000100,0.028895307886052202,0.502448323030944,0.06875771274012672,-1.041602133288003,0.502448323030944
31000100,0.029892945005642324,0.502517026579731,0.06771611060683871,-1.0412720238132032,0.502517026579731
32000100,0.03089065314579682,0.5025846909504844,0.06667483858302552,-1.0409399671854638,0.5025846909504844
33000100,0.031888431202073665,0.5026513163991688,0.06563389861584006,-1.0406059653793094,0.5026513163991688
34000100,0.032886278070856194,0.5027169031848875,0.06459329265046075,-1.0402700203737976,0.5027169031848875
35000100,0.03388419264936231,0.5027814515698786,0.06355302263008696,-1.0399321341526802,0.5027814515698786
36000100,0.03488217383565365,0.5028449618195122,0.06251309049593427,-1.0395923087040617,0.5028449618195122
37000100,0.03588022052864479,0.5029074342022861,0.06147349818723021,-1.039250546020727,0.5029074342022861
38000100,0.036878331628112354,0.5029688689898226,0.060434247641209485,-1.038906848099857,0.5029688689898226
39000100,0.03787650603470416,0.5030292664568646,0.059395340793109624,-1.0385612169431306,0.5030292664568646
40000100,0.038874742649948335,0.5030886268812722,0.05835677957616649,-1.0382136545566096,0.5030886268812722
41000100,0.03987304037626239,0.5031469505440189,0.05731856592160988,-1.0378641629508965,0.5031469505440189
42000100,0.04087139811696229,0.5032042377291879,0.056280701758658985,-1.0375127441410166,0.5032042377291879
43000100,0.04186981477627153,0.5032604887239682,0.05524318901451797,-1.037159400146245,0.5032604887239682
44000100,0.04286828925933014,0.5033157038186512,0.05420602961437173,-1.0368041329903763,0.5033157038186512
45000100,0.043866820472203694,0.5033698833066265,0.05316922548138135,-1.0364469447014402,0.5033698833066265
46000100,0.04486540732189233,0.5034230274843784,0.05213277853667991,-1.0360878373118603,0.5034230274843784
47000100,0.04586404871633969,0.5034751366514819,0.05109669069936805,-1.0357268128584476,0.5034751366514819
48000100,0.04686274356444191,0.5035262111105988,0.0500609638865096,-1.0353638733821153,0.5035262111105988
49000100,0.047861490776056496,0.5035762511674741,0.04902560001312749,-1.0349990209281479,0.5035762511674741
50000100,0.048860289262011296,0.5036252571309316,0.04799060099219933,-1.0346322575461953,0.5036252571309316
51000100,0.04985913793411334,0.5036732293128705,0.04695596873465314,-1.0342635852899869,0.5036732293128705
52000100,0.05085803570515775,0.503720168028261,0.045921705149363154,-1.0338930062174347,0.503720168028261
53000100,0.05185698148893657,0.5037660735951405,0.04488781214314572,-1.033520522390849,0.5037660735951405
54000100,0.05285597420024759,0.5038109463346094,0.04385429162075487,-1.0331461358764293,0.5038109463346094
55000100,0.05385501275490318,0.5038547865708276,0.04282114548487844,-1.032769848744758,0.5038547865708276
56000100,0.05485409606973906,0.5038975946310098,0.04178837563613368,-1.0323916630704584,0.5038975946310098
57000100,0.05585322306262306,0.5039393708454216,0.040755983973063216,-1.032011580932298,0.5039393708454216
58000100,0.05685239265246388,0.5039801155473757,0.03972397239213092,-1.0316296044130149,0.5039801155473757
59000100,0.05785160375921983,0.5040198290732272,0.03869234278771791,-1.031245735599586,0.5040198290732272
60000100,0.05885085530390749,0.5040585117623699,0.03766109705211832,-1.0308599765829434,0.5040585117623699
61000100,0.05985014620861045,0.5040961639572322,0.03663023707553538,-1.0304723294580198,0.5040961639572322
62000100,0.06084947539648791,0.5041327860032724,0.03559976474607736,-1.0300827963239085,0.5041327860032724
63000100,0.061848841791783384,0.5041683782489746,0.03456968194975345,-1.029691379283522,0.5041683782489746
64000100,0.06284824431983327,0.5042029410458451,0.03353999057046993,-1.0292980804438052,0.5042029410458451
65000100,0.06384768190707546,0.5042364747484069,0.032510692490026125,-1.0289029019157274,0.5042364747484069
66000100,0.06484715348105793,0.5042689797141966,0.0314817895881104,-1.0285058458140526,0.5042689797141966
67000100,0.0658466579704473,0.5043004563037593,0.030453283742296344,-1.028106914257497,0.5043004563037593
68000100,0.06684619430503731,0.5043309048806447,0.029425176828038847,-1.0277061093687765,0.5043309048806447
69000100,0.06784576141575742,0.5043603258114023,0.02839747071867007,-1.0273034332743765,0.5043603258114023
70000100,0.06884535823468121,0.5043887194655775,0.027370167285395694,-1.0268988881045984,0.5043887194655775
71000100,0.06984498369503493,0.5044160862157067,0.0263432683972911,-1.0264924759936622,0.5044160862157067
