[VIZ] t=7.4s  y=-0.1010  err=0.1010
[VIZ] t=7.5s  y=-0.0915  err=0.0915
[VIZ] t=7.6s  y=-0.0808  err=0.0808
[VIZ] t=7.7s  y=-0.0691  err=0.0691
[VIZ] t=7.8s  y=-0.0567  err=0.0567
[VIZ] t=7.9s  y=-0.0438  err=0.0438
[VIZ] t=8.0s  y=-0.0308  err=0.0308
[VIZ] t=8.1s  y=-0.0178  err=0.0178
[VIZ] t=8.2s  y=-0.0052  err=0.0052
[VIZ] t=8.3s  y=0.0069  err=0.0069
[VIZ] t=8.4s  y=0.0182  err=0.0182
[VIZ] t=8.5s  y=0.0286  err=0.0286
[VIZ] t=8.6s  y=0.0378  err=0.0378
[VIZ] t=8.7s  y=0.0459  err=0.0459
[VIZ] t=8.8s  y=0.0526  err=0.0526
[VIZ] t=8.9s  y=0.0579  err=0.0579
[VIZ] t=9.0s  y=0.0617  err=0.0617
[VIZ] t=9.1s  y=0.0641  err=0.0641
[VIZ] t=9.2s  y=0.0650  err=0.0650
[VIZ] t=9.3s  y=0.0646  err=0.0646
[VIZ] t=9.4s  y=0.0628  err=0.0628
[VIZ] t=9.5s  y=0.0598  err=0.0598
[VIZ] t=9.6s  y=0.0556  err=0.0556
[VIZ] t=9.7s  y=0.0505  err=0.0505
[VIZ] t=9.8s  y=0.0445  err=0.0445
[VIZ] t=9.9s  y=0.0379  err=0.0379
[VIZ] t=10.0s  y=0.0306  err=0.0306
[VIZ] t=10.1s  y=0.0231  err=0.0231
[VIZ] t=10.2s  y=0.0153  err=0.0153
[VIZ] t=10.3s  y=0.0074  err=0.0074
[VIZ] t=10.4s  y=-0.0003  err=0.0003
[VIZ] t=10.5s  y=-0.0078  err=0.0078
[VIZ] t=10.6s  y=-0.0149  err=0.0149
[VIZ] t=10.7s  y=-0.0215  err=0.0215
[VIZ] t=10.8s  y=-0.0275  err=0.0275
[VIZ] t=10.9s  y=-0.0328  err=0.0328
[VIZ] t=11.0s  y=-0.0373  err=0.0373
[VIZ] t=11.1s  y=-0.0410  err=0.0410
[VIZ] t=11.2s  y=-0.0439  err=0.0439
[VIZ] t=11.3s  y=-0.0458  err=0.0458
[VIZ] t=11.4s  y=-0.0469  err=0.0469
[VIZ] t=11.5s  y=-0.0471  err=0.0471
[VIZ] t=11.6s  y=-0.0464  err=0.0464
[VIZ] t=11.7s  y=-0.0450  err=0.0450
[VIZ] t=11.8s  y=-0.0429  err=0.0429
[VIZ] t=11.9s  y=-0.0401  err=0.0401
[VIZ] t=12.0s  y=-0.0368  err=0.0368
[VIZ] t=12.1s  y=-0.0330  err=0.0330
[VIZ] t=12.2s  y=-0.0288  err=0.0288
[VIZ] t=12.3s  y=-0.0243  err=0.0243
[VIZ] t=12.4s  y=-0.0196  err=0.0196
[VIZ] t=12.5s  y=-0.0148  err=0.0148
[VIZ] t=12.6s  y=-0.0100  err=0.0100
[VIZ] t=12.7s  y=-0.0054  err=0.0054
[VIZ] t=12.8s  y=-0.0009  err=0.0009
[VIZ] t=12.9s  y=0.0033  err=0.0033
[VIZ] t=13.0s  y=0.0072  err=0.0072
[VIZ] t=13.1s  y=0.0107  err=0.0107
[VIZ] t=13.2s  y=0.0138  err=0.0138
[VIZ] t=13.3s  y=0.0164  err=0.0164
[VIZ] t=13.4s  y=0.0184  err=0.0184
[VIZ] t=13.5s  y=0.0200  err=0.0200
[VIZ] t=13.6s  y=0.0210  err=0.0210
[VIZ] t=13.7s  y=0.0215  err=0.0215
[VIZ] t=13.8s  y=0.0214  err=0.0214
[VIZ] t=13.9s  y=0.0209  err=0.0209
[VIZ] t=14.0s  y=0.0199  err=0.0199
[VIZ] t=14.1s  y=0.0185  err=0.0185
[VIZ] t=14.2s  y=0.0167  err=0.0167
[VIZ] t=14.3s  y=0.0146  err=0.0146
[VIZ] t=14.4s  y=0.0122  err=0.0122
[VIZ] t=14.5s  y=0.0097  err=0.0097
[VIZ] t=14.6s  y=0.0069  err=0.0069
[VIZ] t=14.7s  y=0.0041  err=0.0041
[VIZ] t=14.8s  y=0.0012  err=0.0012
[VIZ] t=14.9s  y=-0.0016  err=0.0016
[VIZ] t=15.0s  y=-0.0043  err=0.0043
[VIZ] t=15.1s  y=-0.0070  err=0.0070
[VIZ] t=15.2s  y=-0.0094  err=0.0094
[VIZ] t=15.3s  y=-0.0116  err=0.0116
